site,date,avg_chl,sd_chl
ODNR_2,6/6/2022,49.31,17.75
Buoy_2,6/6/2022,58.55,11.48
ODNR_1,6/6/2022,64.06,16.92
EC_1163,6/6/2022,31.27,17.26
Bells,6/6/2022,13.1,2.04
Muddy Creek,6/13/2022,43.36,32.7
ODNR_4,6/13/2022,40.14,2.52
ODNR_6,6/13/2022,125.03,1.45
Bridge,6/13/2022,85.75,12.74
ODNR_2,6/13/2022,102.34,119.79
Buoy_2,6/13/2022,32.33,21.43
ODNR_1,6/13/2022,107.46,16.21
EC_1163,6/13/2022,26.35,1.28
Bells,6/13/2022,9.23,2.12
Muddy Creek,6/21/2022,23.53,3.78
ODNR_4,6/21/2022,70.38,0.89
ODNR_6,6/21/2022,83.21,8.38
Bridge,6/21/2022,76.13,7.13
ODNR_2,6/21/2022,66.49,36.95
Buoy_2,6/21/2022,64.53,24.79
ODNR_1,6/21/2022,42.07,0.58
EC_1163,6/21/2022,43.28,2.68
Bells,6/21/2022,21.31,3.27
Muddy Creek,6/27/2022,71.18,46.75
ODNR_4,6/27/2022,112.51,19.48
ODNR_6,6/27/2022,48.87,38.94
Bridge,6/27/2022,96.21,10.68
ODNR_2,6/27/2022,59.94,5.1
Buoy_2,6/27/2022,34.15,14.12
ODNR_1,6/27/2022,41.26,18.89
EC_1163,6/27/2022,64.33,56.33
Muddy Creek,7/5/2022,298.47,151.63
ODNR_4,7/5/2022,114.65,46.25
ODNR_6,7/5/2022,98.52,22.14
Bridge,7/5/2022,34.82,32.93
ODNR_2,7/5/2022,80.37,4.09
Buoy_2,7/5/2022,39.12,19.24
ODNR_1,7/5/2022,59.61,13.74
EC_1163,7/5/2022,36,9.26
Muddy Creek,7/11/2022,180.92,17.54
ODNR_4,7/11/2022,142.57,20.59
ODNR_6,7/11/2022,164.42,10
Bridge,7/11/2022,71.32,58.59
ODNR_2,7/11/2022,34.16,29.35
Buoy_2,7/11/2022,36.92,28.93
ODNR_1,7/11/2022,36.17,14.49
EC_1163,7/11/2022,51.63,9.85
Bells,7/11/2022,32.35,4.16
Muddy Creek,7/18/2022,71.78,10.33
ODNR_4,7/18/2022,73.24,8.21
ODNR_6,7/18/2022,88.35,23.41
Bridge,7/18/2022,85.03,5.02
ODNR_2,7/18/2022,51.47,1.02
Buoy_2,7/18/2022,16.3,12.63
ODNR_1,7/18/2022,32.9,3.55
EC_1163,7/18/2022,34.77,26.48
Causeway,7/18/2022,57.03,0.56
Bells,7/18/2022,13.01,9.99
Muddy Creek,7/25/2022,127.62,15.32
ODNR_4,7/25/2022,78.75,66.4
ODNR_6,7/25/2022,167.2,77.83
Bridge,7/25/2022,57.46,42.43
ODNR_2,7/25/2022,41.25,18.78
Buoy_2,7/25/2022,54.58,20.48
ODNR_1,7/25/2022,69.58,4.56
EC_1163,7/25/2022,57,12.7
Causeway,7/25/2022,44.04,15.4
Bells,7/25/2022,14.92,2.1
Muddy Creek,8/1/2022,185.08,18.1
ODNR_4,8/1/2022,91.59,23.02
ODNR_6,8/1/2022,127.66,4.57
Bridge,8/1/2022,93.38,20.7
ODNR_2,8/1/2022,67.32,10.14
Buoy_2,8/1/2022,18.77,23.7
ODNR_1,8/1/2022,42.06,7.69
EC_1163,8/1/2022,65.11,0.39
Causeway,8/1/2022,52.21,5.69
Bells,8/1/2022,18.65,0.28
ODNR_4,8/9/2022,127.63,2.54
ODNR_6,8/9/2022,125.17,1.27
Bridge,8/9/2022,92.02,2.98
ODNR_2,8/9/2022,77.61,3.12
ODNR_1,8/9/2022,87.58,2.32
Causeway,8/9/2022,94.92,1.42
Muddy Creek,8/15/2022,39.47,11.57
ODNR_4,8/15/2022,52.41,42.11
ODNR_6,8/15/2022,48.19,5.75
Bridge,8/15/2022,64.35,23.16
ODNR_2,8/15/2022,42.1,3.06
Buoy_2,8/15/2022,51.51,1.87
ODNR_1,8/15/2022,24.84,13.4
EC_1163,8/15/2022,10.72,9.21
Causeway,8/15/2022,24.09,22.18
Causeway inside,6/27/2022,13.76,NA
Causeway outside,6/27/2022,32.14,NA
Causeway outside,7/12/2022,2,NA
Causeway inside,7/27/2022,5.24,NA
Causeway outside,7/27/2022,7.06,NA
Muddy Creek,8/29/2022,88.34,4.73
ODNR_4,8/29/2022,73.68,4.19
ODNR_6,8/29/2022,61.99,2.77
Bridge,8/29/2022,31.45,29.12
ODNR_2,8/29/2022,53.74,1.31
Buoy_2,8/29/2022,64.27,3.24
ODNR_1,8/29/2022,62.53,4.09
EC_1163,8/29/2022,65.39,2.11
Causeway,8/29/2022,49.85,8.24
Muddy Creek,9/12/2022,120.43,5.54
ODNR_4,9/12/2022,81.56,9
ODNR_6,9/12/2022,77.42,4.98
Bridge,9/12/2022,42.39,26.15
ODNR_2,9/12/2022,60.2,2.18
Buoy_2,9/12/2022,63.94,1.35
ODNR_1,9/12/2022,70.51,2.46
EC_1163,9/12/2022,55.78,4.79
Causeway,9/12/2022,44.11,22.15
Causeway inside,8/10/2022,16.16,NA
Causeway inside,9/3/2022,27.07,NA
Causeway outside,8/10/2022,23.4,NA
Causeway outside,9/3/2022,4.54,NA
