"variable","Depth","Site","Year","K_avg","value","plot"
"Light",0.5,"ODNR_2",2022,3.08592347156885,199.614615384615,"Light"
"Light",1,"ODNR_2",2022,3.08592347156885,59.4323076923077,"Light"
"Light",1.5,"ODNR_2",2022,3.08592347156885,16.9480769230769,"Light"
"Light",2,"ODNR_2",2022,3.08592347156885,6.35416666666667,"Light"
"Light",2.5,"ODNR_2",2022,3.08592347156885,2.548,"Light"
"Light",3,"ODNR_2",2022,3.08592347156885,1.4775,"Light"
"Light",0.5,"Buoy_2",2022,2.60153288785912,308.8325,"Light"
"Light",1,"Buoy_2",2022,2.60153288785912,81.2974583333333,"Light"
"Light",1.5,"Buoy_2",2022,2.60153288785912,33.8033333333333,"Light"
"Light",2,"Buoy_2",2022,2.60153288785912,13.9283333333333,"Light"
"Light",2.5,"Buoy_2",2022,2.60153288785912,5.21818181818182,"Light"
"Light",3,"Buoy_2",2022,2.60153288785912,3.24642857142857,"Light"
"Light",3.5,"Buoy_2",2022,2.60153288785912,2.725,"Light"
"Light",4,"Buoy_2",2022,2.60153288785912,1.21,"Light"
"Light",0.5,"ODNR_1",2022,2.78919195047103,316.141923076923,"Light"
"Light",1,"ODNR_1",2022,2.78919195047103,95.6923076923077,"Light"
"Light",1.5,"ODNR_1",2022,2.78919195047103,33.9215384615385,"Light"
"Light",2,"ODNR_1",2022,2.78919195047103,12.1880769230769,"Light"
"Light",2.5,"ODNR_1",2022,2.78919195047103,4.50958333333333,"Light"
"Light",3,"ODNR_1",2022,2.78919195047103,2.17714285714286,"Light"
"Light",3.5,"ODNR_1",2022,2.78919195047103,1.0325,"Light"
"Light",0.5,"EC_1163",2022,2.40635151984112,314.937083333333,"Light"
"Light",1,"EC_1163",2022,2.40635151984112,102.185,"Light"
"Light",1.5,"EC_1163",2022,2.40635151984112,45.8641666666667,"Light"
"Light",2,"EC_1163",2022,2.40635151984112,18.6154166666667,"Light"
"Light",2.5,"EC_1163",2022,2.40635151984112,7.14125,"Light"
"Light",3,"EC_1163",2022,2.40635151984112,2.91636363636364,"Light"
"Light",3.5,"EC_1163",2022,2.40635151984112,1.2755,"Light"
"Light",4,"EC_1163",2022,2.40635151984112,0.63625,"Light"
"Light",0.5,"Bells",2022,1.15664764055117,622.841428571429,"Light"
"Light",1,"Bells",2022,1.15664764055117,461.115,"Light"
"Light",1.5,"Bells",2022,1.15664764055117,282.522142857143,"Light"
"Light",2,"Bells",2022,1.15664764055117,210.712142857143,"Light"
"Light",2.5,"Bells",2022,1.15664764055117,138.417857142857,"Light"
"Light",3,"Bells",2022,1.15664764055117,102.482857142857,"Light"
"Light",3.5,"Bells",2022,1.15664764055117,77.0721428571429,"Light"
"Light",4,"Bells",2022,1.15664764055117,53.8671428571429,"Light"
"Light",5,"Bells",2022,1.15664764055117,33.6178571428571,"Light"
"Light",6,"Bells",2022,1.15664764055117,21.0035714285714,"Light"
"Light",0.5,"Muddy Creek",2022,7.72395630733436,19.4055,"Light"
"Light",1,"Muddy Creek",2022,7.72395630733436,0.79,"Light"
"Light",1.5,"Muddy Creek",2022,7.72395630733436,0.13,"Light"
"Light",0.5,"ODNR_4",2022,5.593767093733,61.55625,"Light"
"Light",1,"ODNR_4",2022,5.593767093733,4.28375,"Light"
"Light",1.5,"ODNR_4",2022,5.593767093733,0.543181818181818,"Light"
"Light",2,"ODNR_4",2022,5.593767093733,0.125,"Light"
"Light",0.5,"ODNR_6",2022,4.29183338320159,107.804583333333,"Light"
"Light",1,"ODNR_6",2022,4.29183338320159,13.36125,"Light"
"Light",1.5,"ODNR_6",2022,4.29183338320159,2.67,"Light"
"Light",2,"ODNR_6",2022,4.29183338320159,0.564583333333333,"Light"
"Light",2.5,"ODNR_6",2022,4.29183338320159,0.1175,"Light"
"Light",3,"ODNR_6",2022,4.29183338320159,0.025,"Light"
"Light",0.5,"Causeway",2022,2.50471069190228,369.698333333333,"Light"
"Light",1,"Causeway",2022,2.50471069190228,93.6991666666667,"Light"
"Light",1.5,"Causeway",2022,2.50471069190228,41.95875,"Light"
